group	label
426	Adjusted AIC penalty = 1.4214
427	Adjusted AIC penalty = 1.4214
428	Adjusted AIC penalty = 1.4214
429	Adjusted AIC penalty = 1.4214
430	Adjusted AIC penalty = 1.4214
431	Adjusted AIC penalty = 1.4214
432	Adjusted AIC penalty = 1.4214
433	Adjusted AIC penalty = 1.4214
434	Adjusted AIC penalty = 1.4214
435	Adjusted AIC penalty = 1.4214
436	Adjusted AIC penalty = 1.4214
437	Adjusted AIC penalty = 1.4214
438	Adjusted AIC penalty = 1.4214
439	Adjusted AIC penalty = 1.4214
440	Adjusted AIC penalty = 1.4214
441	Adjusted AIC penalty = 1.4214
442	Adjusted AIC penalty = 1.4214
443	Adjusted AIC penalty = 1.4214
444	Adjusted AIC penalty = 1.4214
445	Adjusted AIC penalty = 1.4214
446	Adjusted AIC penalty = 1.4214
447	Adjusted AIC penalty = 1.4214
448	Adjusted AIC penalty = 1.4214
449	Adjusted AIC penalty = 1.4214
450	Adjusted AIC penalty = 1.4214
451	Adjusted AIC penalty = 1.4214
452	Adjusted AIC penalty = 1.4214
453	Adjusted AIC penalty = 1.4214
454	Adjusted AIC penalty = 1.4214
455	Adjusted AIC penalty = 1.4214
456	Adjusted AIC penalty = 1.4214
457	Adjusted AIC penalty = 1.4214
458	Adjusted AIC penalty = 1.4214
459	Adjusted AIC penalty = 1.4214
460	Adjusted AIC penalty = 1.4214
461	Adjusted AIC penalty = 1.4214
462	Adjusted AIC penalty = 1.4214
463	Adjusted AIC penalty = 1.4214
464	Adjusted AIC penalty = 1.4214
465	Adjusted AIC penalty = 1.4214
466	Adjusted AIC penalty = 1.4214
467	Adjusted AIC penalty = 1.4214
468	Adjusted AIC penalty = 1.4214
469	Adjusted AIC penalty = 1.4214
470	Adjusted AIC penalty = 1.4214
471	Adjusted AIC penalty = 1.4214
472	Adjusted AIC penalty = 1.4214
473	Adjusted AIC penalty = 1.4214
474	Adjusted AIC penalty = 1.4214
475	Adjusted AIC penalty = 1.4214
476	Adjusted AIC penalty = 1.4214
477	Adjusted AIC penalty = 1.4214
478	Adjusted AIC penalty = 1.4214
479	Adjusted AIC penalty = 1.4214
480	Adjusted AIC penalty = 1.4214
481	Adjusted AIC penalty = 1.4214
482	Adjusted AIC penalty = 1.4214
483	Adjusted AIC penalty = 1.4214
484	Adjusted AIC penalty = 1.4214
485	Adjusted AIC penalty = 1.4214
486	Adjusted AIC penalty = 1.4214
487	Adjusted AIC penalty = 1.4214
488	Adjusted AIC penalty = 1.4214
489	Adjusted AIC penalty = 1.4214
490	Adjusted AIC penalty = 1.4214
491	Adjusted AIC penalty = 1.4214
492	Adjusted AIC penalty = 1.4214
493	Adjusted AIC penalty = 1.4214
494	Adjusted AIC penalty = 1.4214
495	Adjusted AIC penalty = 1.4214
496	Adjusted AIC penalty = 1.4214
497	Adjusted AIC penalty = 1.4214
498	Adjusted AIC penalty = 1.4214
499	Adjusted AIC penalty = 1.4214
500	Adjusted AIC penalty = 1.4214
501	Adjusted AIC penalty = 1.4214
502	Adjusted AIC penalty = 1.4214
503	Adjusted AIC penalty = 1.4214
504	Adjusted AIC penalty = 1.4214
505	Adjusted AIC penalty = 1.4214
506	Adjusted AIC penalty = 1.4214
507	Adjusted AIC penalty = 1.4214
508	Adjusted AIC penalty = 1.4214
509	Adjusted AIC penalty = 1.4214
510	Adjusted AIC penalty = 1.4214
511	Adjusted AIC penalty = 1.4214
512	Adjusted AIC penalty = 1.4214
513	Adjusted AIC penalty = 1.4214
514	Adjusted AIC penalty = 1.4214
515	Adjusted AIC penalty = 1.4214
516	Adjusted AIC penalty = 1.4214
517	Adjusted AIC penalty = 1.4214
518	Adjusted AIC penalty = 1.4214
519	Adjusted AIC penalty = 1.4214
520	Adjusted AIC penalty = 1.4214
521	Adjusted AIC penalty = 1.4214
522	Adjusted AIC penalty = 1.4214
523	Adjusted AIC penalty = 1.4214
524	Adjusted AIC penalty = 1.4214
525	Adjusted AIC penalty = 1.4214
526	Adjusted AIC penalty = 1.4214
527	Adjusted AIC penalty = 1.4214
528	Adjusted AIC penalty = 1.4214
529	Adjusted AIC penalty = 1.4214
530	Adjusted AIC penalty = 1.4214
531	Adjusted AIC penalty = 1.4214
532	Adjusted AIC penalty = 1.4214
533	Adjusted AIC penalty = 1.4214
534	Adjusted AIC penalty = 1.4214
535	Adjusted AIC penalty = 1.4214
536	Adjusted AIC penalty = 1.4214
537	Adjusted AIC penalty = 1.4214
538	Adjusted AIC penalty = 1.4214
539	Adjusted AIC penalty = 1.4214
540	Adjusted AIC penalty = 1.4214
541	Adjusted AIC penalty = 1.4214
542	Adjusted AIC penalty = 1.4214
543	Adjusted AIC penalty = 1.4214
544	Adjusted AIC penalty = 1.4214
545	Adjusted AIC penalty = 1.4214
546	Adjusted AIC penalty = 1.4214
547	Adjusted AIC penalty = 1.4214
548	Adjusted AIC penalty = 1.4214
549	Adjusted AIC penalty = 1.4214
550	Adjusted AIC penalty = 1.4214
551	Adjusted AIC penalty = 1.4214
552	Adjusted AIC penalty = 1.4214
553	Adjusted AIC penalty = 1.4214
554	Adjusted AIC penalty = 1.4214
555	Adjusted AIC penalty = 1.4214
556	Adjusted AIC penalty = 1.4214
557	Adjusted AIC penalty = 1.4214
558	Adjusted AIC penalty = 1.4214
559	Adjusted AIC penalty = 1.4214
560	Adjusted AIC penalty = 1.4214
561	Adjusted AIC penalty = 1.4214
562	Adjusted AIC penalty = 1.4214
563	Adjusted AIC penalty = 1.4214
564	Adjusted AIC penalty = 1.4214
565	Adjusted AIC penalty = 1.4214
566	Adjusted AIC penalty = 1.4214
567	Adjusted AIC penalty = 1.4214
568	Adjusted AIC penalty = 1.4214
569	Adjusted AIC penalty = 1.4214
570	Adjusted AIC penalty = 1.4214
571	Adjusted AIC penalty = 1.4214
572	Adjusted AIC penalty = 1.4214
573	Adjusted AIC penalty = 1.4214
574	Adjusted AIC penalty = 1.4214
575	Adjusted AIC penalty = 1.4214
576	Adjusted AIC penalty = 1.4214
577	Adjusted AIC penalty = 1.4214
578	Adjusted AIC penalty = 1.4214
579	Adjusted AIC penalty = 1.4214
580	Adjusted AIC penalty = 1.4214
581	Adjusted AIC penalty = 1.4214
582	Adjusted AIC penalty = 1.4214
583	Adjusted AIC penalty = 1.4214
584	Adjusted AIC penalty = 1.4214
585	Adjusted AIC penalty = 1.4214
586	Adjusted AIC penalty = 1.4214
587	Adjusted AIC penalty = 1.4214
588	Adjusted AIC penalty = 1.4214
589	Adjusted AIC penalty = 1.4214
590	Adjusted AIC penalty = 1.4214
591	Adjusted AIC penalty = 1.4214
592	Adjusted AIC penalty = 1.4214
593	Adjusted AIC penalty = 1.4214
594	Adjusted AIC penalty = 1.4214
595	Adjusted AIC penalty = 1.4214
596	Adjusted AIC penalty = 1.4214
597	Adjusted AIC penalty = 1.4214
598	Adjusted AIC penalty = 1.4214
599	Adjusted AIC penalty = 1.4214
600	Adjusted AIC penalty = 1.4214
601	Adjusted AIC penalty = 1.4214
602	Adjusted AIC penalty = 1.4214
603	Adjusted AIC penalty = 1.4214
604	Adjusted AIC penalty = 1.4214
605	Adjusted AIC penalty = 1.4214
606	Adjusted AIC penalty = 1.4214
607	Adjusted AIC penalty = 1.4214
608	Adjusted AIC penalty = 1.4214
609	Adjusted AIC penalty = 1.4214
610	Adjusted AIC penalty = 1.4214
611	Adjusted AIC penalty = 1.4214
612	Adjusted AIC penalty = 1.4214
613	Adjusted AIC penalty = 1.4214
614	Adjusted AIC penalty = 1.4214
615	Adjusted AIC penalty = 1.4214
616	Adjusted AIC penalty = 1.4214
617	Adjusted AIC penalty = 1.4214
618	Adjusted AIC penalty = 1.4214
619	Adjusted AIC penalty = 1.4214
620	Adjusted AIC penalty = 1.4214
621	Adjusted AIC penalty = 1.4214
622	Adjusted AIC penalty = 1.4214
623	Adjusted AIC penalty = 1.4214
624	Adjusted AIC penalty = 1.4214
625	Adjusted AIC penalty = 1.4214
626	Adjusted AIC penalty = 1.4214
627	Adjusted AIC penalty = 1.4214
628	Adjusted AIC penalty = 1.4214
629	Adjusted AIC penalty = 1.4214
630	Adjusted AIC penalty = 1.4214
631	Adjusted AIC penalty = 1.4214
632	Adjusted AIC penalty = 1.4214
633	Adjusted AIC penalty = 1.4214
634	Adjusted AIC penalty = 1.4214
635	Adjusted AIC penalty = 1.4214
636	Adjusted AIC penalty = 1.4214
637	Adjusted AIC penalty = 1.4214
638	Adjusted AIC penalty = 1.4214
639	Adjusted AIC penalty = 1.4214
640	Adjusted AIC penalty = 1.4214
641	Adjusted AIC penalty = 1.4214
642	Adjusted AIC penalty = 1.4214
643	Adjusted AIC penalty = 1.4214
644	Adjusted AIC penalty = 1.4214
645	Adjusted AIC penalty = 1.4214
646	Adjusted AIC penalty = 1.4214
647	Adjusted AIC penalty = 1.4214
648	Adjusted AIC penalty = 1.4214
649	Adjusted AIC penalty = 1.4214
650	Adjusted AIC penalty = 1.4214
651	Adjusted AIC penalty = 1.4214
652	Adjusted AIC penalty = 1.4214
653	Adjusted AIC penalty = 1.4214
654	Adjusted AIC penalty = 1.4214
655	Adjusted AIC penalty = 1.4214
656	Adjusted AIC penalty = 1.4214
657	Adjusted AIC penalty = 1.4214
658	Adjusted AIC penalty = 1.4214
659	Adjusted AIC penalty = 1.4214
660	Adjusted AIC penalty = 1.4214
661	Adjusted AIC penalty = 1.4214
662	Adjusted AIC penalty = 1.4214
663	Adjusted AIC penalty = 1.4214
664	Adjusted AIC penalty = 1.4214
665	Adjusted AIC penalty = 1.4214
666	Adjusted AIC penalty = 1.4214
667	Adjusted AIC penalty = 1.4214
668	Adjusted AIC penalty = 1.4214
669	Adjusted AIC penalty = 1.4214
670	Adjusted AIC penalty = 1.4214
671	Adjusted AIC penalty = 1.4214
672	Adjusted AIC penalty = 1.4214
